slang_words,formal_words,word_index
@,di,@
abis,habis,a
ad,ada,a
adlh,adalah,a
afaik,as far as i know,a
ahaha,haha,a
aj,saja,a
ajep-ajep,dunia gemerlap,a
ak,saya,a
akika,aku,a
akkoh,aku,a
akuwh,aku,a
alay,norak,a
alow,halo,a
ambilin,ambilkan,a
ancur,hancur,a
anjrit,anjing,a
anter,antar,a
ap2,apa-apa,a
apasih,apa sih,a
apes,sial,a
aps,apa,a
aq,saya,a
aquwh,aku,a
asbun,asal bunyi,a
aseekk,asyik,a
asekk,asyik,a
asem,asam,a
aspal,asli tetapi palsu,a
astul,asal tulis,a
ato,atau,a
au ah,tidak mau tahu,a
awak,saya,a
ay,sayang,a
ayank,sayang,a
b4,sebelum,b
bakalan,akan,b
bandes,bantuan desa,b
bangedh,banget,b
banpol,bantuan polisi,b
banpur,bantuan tempur,b
basbang,basi,b
bcanda,bercanda,b
bdg,bandung,b
begajulan,nakal,b
beliin,belikan,b
bencong,banci,b
bentar,sebentar,b
ber3,bertiga,b
beresin,membereskan,b
bete,bosan,b
beud,banget,b
bg,abang,b
bgmn,bagaimana,b
bgt,banget,b
bijimane,bagaimana,b
bintal,bimbingan mental,b
bkl,akan,b
bknnya,bukannya,b
blegug,bodoh,b
blh,boleh,b
bln,bulan,b
blum,belum,b
bnci,benci,b
bnran,yang benar,b
bodor,lucu,b
bokap,ayah,b
boker,buang air besar,b
bokis,bohong,b
boljug,boleh juga,b
bonek,bocah nekat,b
boyeh,boleh,b
br,baru,b
brg,bareng,b
bro,saudara laki-laki,b
bru,baru,b
bs,bisa,b
bsen,bosan,b
bt,buat,b
btw,ngomong-ngomong,b
buaya,tidak setia,b
bubbu,tidur,b
bubu,tidur,b
bumil,ibu hamil,b
bw,bawa,b
bwt,buat,b
byk,banyak,b
byrin,bayarkan,b
cabal,sabar,c
cadas,keren,c
calo,makelar,c
can,belum,c
capcus,pergi,c
caper,cari perhatian,c
ce,cewek,c
cekal,cegah tangkal,c
cemen,penakut,c
cengengesan,tertawa,c
cepet,cepat,c
cew,cewek,c
chuyunk,sayang,c
cimeng,ganja,c
cipika cipiki,cium pipi kanan cium pipi kiri,c
ciyh,sih,c
ckepp,cakep,c
ckp,cakep,c
cmiiw,correct me if i'm wrong,c
cmpur,campur,c
cong,banci,c
conlok,cinta lokasi,c
cowwyy,maaf,c
cp,siapa,c
cpe,capek,c
cppe,capek,c
cucok,cocok,c
cuex,cuek,c
cumi,Cuma miscall,c
cups,culun,c
curanmor,pencurian kendaraan bermotor,c
curcol,curahan hati colongan,c
cwek,cewek,c
cyin,cinta,c
d,di,d
dah,deh,d
dapet,dapat,d
de,adik,d
dek,adik,d
demen,suka,d
deyh,deh,d
dgn,dengan,d
diancurin,dihancurkan,d
dimaafin,dimaafkan,d
dimintak,diminta,d
disono,di sana,d
dket,dekat,d
dkk,dan kawan-kawan,d
dll,dan lain-lain,d
dlu,dulu,d
dngn,dengan,d
dodol,bodoh,d
doku,uang,d
dongs,dong,d
dpt,dapat,d
dri,dari,d
drmn,darimana,d
drtd,dari tadi,d
dst,dan seterusnya,d
dtg,datang,d
duh,aduh,d
duren,durian,d
ed,edisi,e
egp,emang gue pikirin,e
eke,aku,e
elu,kamu,e
emangnya,memangnya,e
emng,memang,e
endak,tidak,e
enggak,tidak,e
envy,iri,e
ex,mantan,e
fax,facsimile,f
fifo,first in first out,f
folbek,follow back,f
fyi,sebagai informasi,f
gaada,tidak ada uang,g
gag,tidak,g
gaje,tidak jelas,g
gak papa,tidak apa-apa,g
gan,juragan,g
gaptek,gagap teknologi,g
gatek,gagap teknologi,g
gawe,kerja,g
gbs,tidak bisa,g
gebetan,orang yang disuka,g
geje,tidak jelas,g
gepeng,gelandangan dan pengemis,g
ghiy,lagi,g
gile,gila,g
gimana,bagaimana,g
gino,gigi nongol,g
githu,gitu,g
gj,tidak jelas,g
gmana,bagaimana,g
gn,begini,g
goblok,bodoh,g
golput,golongan putih,g
gowes,mengayuh sepeda,g
gpny,tidak punya,g
gr,gede rasa,g
gretongan,gratisan,g
gtau,tidak tahu,g
gua,saya,g
guoblok,goblok,g
gw,saya,g
ha,tertawa,h
haha,tertawa,h
hallow,halo,h
hankam,pertahanan dan keamanan,h
hehe,he,h
helo,halo,h
hey,hai,h
hlm,halaman,h
hny,hanya,h
hoax,isu bohong,h
hr,hari,h
hrus,harus,h
hubdar,perhubungan darat,h
huff,mengeluh,h
hum,rumah,h
humz,rumah,h
ilang,hilang,i
ilfil,tidak suka,i
imho,in my humble opinion,i
imoetz,imut,i
item,hitam,i
itungan,hitungan,i
iye,iya,i
ja,saja,j
jadiin,jadi,j
jaim,jaga image,j
jayus,tidak lucu,j
jdi,jadi,j
jem,jam,j
jga,juga,j
jgnkan,jangankan,j
jir,anjing,j
jln,jalan,j
jomblo,tidak punya pacar,j
jubir,juru bicara,j
jutek,galak,j
k,ke,k
kab,kabupaten,k
kabor,kabur,k
kacrut,kacau,k
kadiv,kepala divisi,k
kagak,tidak,k
kalo,kalau,k
kampret,sialan,k
kamtibmas,keamanan dan ketertiban masyarakat,k
kamuwh,kamu,k
kanwil,kantor wilayah,k
karna,karena,k
kasubbag,kepala subbagian,k
katrok,kampungan,k
kayanya,kayaknya,k
kbr,kabar,k
kdu,harus,k
kec,kecamatan,k
kejurnas,kejuaraan nasional,k
kekeuh,keras kepala,k
kel,kelurahan,k
kemaren,kemarin,k
kepengen,mau,k
kepingin,mau,k
kepsek,kepala sekolah,k
kesbang,kesatuan bangsa,k
kesra,kesejahteraan rakyat,k
ketrima,diterima,k
kgiatan,kegiatan,k
kibul,bohong,k
kimpoi,kawin,k
kl,kalau,k
klianz,kalian,k
kloter,kelompok terbang,k
klw,kalau,k
km,kamu,k
kmps,kampus,k
kmrn,kemarin,k
knal,kenal,k
knp,kenapa,k
kodya,kota madya,k
komdis,komisi disiplin,k
komsov,komunis sovyet,k
kongkow,kumpul bareng teman-teman,k
kopdar,kopi darat,k
korup,korupsi,k
kpn,kapan,k
krenz,keren,k
krm,kirim,k
kt,kita,k
ktmu,ketemu,k
ktr,kantor,k
kuper,kurang pergaulan,k
kw,imitasi,k
kyk,seperti,k
la,lah,l
lam,salam,l
lamp,lampiran,l
lanud,landasan udara,l
latgab,latihan gabungan,l
