,tweet,Processed Text
0,"""Ini hasil dari pengembangan kasus dan laporan dari masyarakat. Jadi, enggak ada polisi punya daftar. Itu bohong,"" kata Direktur Reserse Narkoba Polda Metro Jaya.","hasil kembang kasus tidak daftar bohong kata direktur reserse narkotika, psikotropika, dan obat terlarang polda metro jaya"
1,"Bisa jadi sih, atau cepu tadi ya.",tadi
2,Klo nggak di list mungkun FF juga udh ditangkap dari tahun lalu kan,di list mungkun ff tangkap tahun lalu
3,polisi nyambi jd temen artis kan juga banyak bang,nyambi banyak bang
4,Di bandar nya ada cepu bang.,bandar bang
5,intel sama pak pol kan masyarakat. bandar juga masyarakat bang.,intel pak pol bandar bang
6,temen dia ada yang cepu kali bang,ada kali bang
7,Polisi sekarang cepunya banyak bang,sekarang banyak bang
8,biasalah buat permainan nutupin kasus lain,biasa buat main menutupi kasus
9,Pura2 percaya aja napa,pura kenapa
10,Berarti kinerja polisi buruk. Masa gak bisa telusuri jaringan distribusi. Pasif nunggu laporan. ,arti kerja buruk masa telusur jaring menunggu
11,Pasti ini karena ada hipotesis dari dosen UNJ makanya banyak yg ditangkapin. Timingnya selalu tepat ya? ,ini ada hipotesis dosen unj makanya banyak ditangkapin timingnya selalu tepat
12,"Dulu sy yg pernah jd kru film selama 2th lebih,aslinya banyak banget artis yg pke ganja(setau sy klo dilapangan)mungkin klo dirumah bs jd yg pke bong.",dulu saya pernah kru film lama tahun lebihaslinya banyak banget ganjasetau saya dilapanganmungkin rumah bisa bong
13,"Kan mereka bisa ""sadap"" Handphone kita. Belum lagi kalau ternyata bandarnya ""tuker kepala"".",bisa sadap handphone belum nyata bandar tuker kepala
14,Intel inside,intel inside
15,Yg tau pembeli cm bandar ....so tebak sendiri,beli cuma bandar sok tebak sendiri
16, udah percaya aja Mas ,mas
17,gkmau,gkmau
18,Istrinya sendiri tahu gak doi pake narkoba? Kalau Istri gak tau apalagi masyarakat ,"istri sendiri doi narkotika, psikotropika, dan obat terlarang istri"
19,Masa presscon bilang berdasarkan cepu yang beredar di masyarakat ,masa presscon bilang dasar edar
20,Plot twist pngedarnya itu polisi wakanda yg nyamar,plot twist pngedarnya wakanda nyamar
21,bandar jg masyarakat bg,bandar juga abang
22,"Yang ada dalam benak saya, itu yang dimaksud hasil laporan masyarakat, trus masyarakat yang mana?",ada benak itu maksud hasil terus mana
23,cepunya temen sendiri paling,sendiri paling
24,Sya kira gara2 kalo nangep artis dapet fame dan artis banyak duitnya pak.. ehe,saya kira gara nangep dapat fame banyak duit pak ehe
25,"Dia udah kawin mah bukan masyarakat yg gak tau, melainkan netizen. Kalo daerah rumahnya pasti masyarakat nya ada yang tau kalo dia udah kawin.",kawin mah bukan netizen daerah rumah kawin
26,Satintelkam can't relate ,satintelkam cant relate
27,Cepu jg kan masyarakat mas.,juga mas
28,"Karena punya intel lah, intel polisi itu ga cuma jd kang bakso doang ",intel lah intel cuma kang bakso doang
30,Tolong kepada netizen ini Gada hubungannya dgn ramainya berita tentang saham yg hampir 100M itu ya....,kepada netizen ada hubung dengan ramai berita saham hampir iya
31,Keknya kalo lu pengguna sama dengan lu udah beli “tiket” tinggal nunggu waktu aja. ,seperti kamu guna kamu beli tiket tinggal menunggu waktu
32,Isilop ngeles aja kek bajaj,isilop berkilah seperti bajaj
33,"Polisinya ada yang penumpang 828, jadi tiap hari dapet Calling buat ungkap kasus-kasus",tumpang tiap hari dapat calling buat ungkap kasuskasus
34,Dan drmn dpt brg? ga pernah terekspose pengembangan asal brg..,darimana dapat bareng pernah ekspose kembang asal bareng
35,Sa ae pak pol,sa pak pol
36,"Curiga, yg jual ke artis-artis ini itu adalah.....",curiga jual artisartis itu
37,"Gue pake quotes lawas aja bro:

""Not everyone arround you is your friend"".",saya quotes lawas bronot everyone arround you is your friend
38,Polisi kalau nggak pake seragam dan nggak di kantor polisi dan nggak bawa ht juga bakal jadi masyarakat ye kannn... hmm curiga aja sma bapak-bapak bersarung dan emak-emak petangtang petengteng tas belanjaan depan rumah,seragam tidak kantor tidak bawa hati bakal ye hmm curiga bapakbapak sarung emakemak petangtang tengteng tas belanja depan rumah
39,Masyarakat lagi kan ujungnya....,ujung
40,Banpol,bantuan
41,Ujungnya tetap masyarakat yang terkambing hitamkan,ujung tetap kambing hitam
42,"Well... I don't care actually.

Gue lebih peduli sama kasus korupsi pejabat daripada kasus artis pake narkoba.

Kerugian korupsi pasti lebih besar ketimbang artis pake narkoba","well i dont care actuallygue lebih peduli kasus korupsi jabat kasus narkobakerugian korupsi lebih besar ketimbang narkotika, psikotropika, dan obat terlarang"
43,Polisi kan masyarakat juga.,
44,"Banyak intel disekitar kita, bisa jadi mereka adalah salah satu anggota keluargamu",banyak intel sekitar bisa adalah salah satu anggota keluarga
45,Sp nih cepunya ?,siapa ini
46,Wkwkwk temen gw make shabu dikamar nya bareng si itu pas di grebek ternyata si itu satu kesatuan juga sama yg nangkep btw temen gw gk pake di hukum alias damai di TKP bayar 15jt doang ya murah sih daripada jadi napi awokwowkwowkwowkowk,wkwkwk saya memakai shabu kamar bareng pas grebek nyata satu satu nangkep ngomong-ngomong saya hukum alias damai tkp bayar juta doang murah narapidana awokwowkwowkwowkowk
47,ada yang cepu?,
48,Lambe turah,lambe turah
49,hah? percaya polisi? up dulu dah,hah up dulu deh
50,"That ""percaya aja"" ",that
51,"cepunya artis jg, gudluking kasus ganja jg inisial JN ",juga gudluking kasus ganja juga inisial jn
52,Hah kita? Lau aja kali gue enggak hehe,hah kau kali saya tidak he
53,"pasti punya, tinggal tunggu waktu aja buat nangkap.,",tinggal tunggu waktu buat nangkap
54,Masyarakatnya dia2 juga wkwkw,juga wkwkw
55,"Lu aja yg gatau dia udah nikah, di podcast kan dia bilang",kamu tau nikah podcast bilang
56,Gua mah lebih peduli ama kasus korupsi daripada ginian..,saya mah lebih peduli kasus korupsi beginian
