,tweet,Processed Text
0,Akhirnya bisa nonton bang ardhito manggung lagi,akhir menonton bang ardhito manggung
1,Wooww aku blm pernah nonton ardhito,wooww belum pernah menonton ardhito
2,that's my baby,thats my baby
3,Akhirnya bisa ngrasain suasana gigs lagi setelah sekian lama ,akhir merasai suasana gigs telah sekian lama
4,Akhirnya bisa nonton ardhito manggung,akhir menonton ardhito manggung
5,seneng bgt juga tau ga sii akhirnya bisa nonton dhito manggung lagi. apalagi bareng ,neng banget tahu enggak sih akhir menonton dhito manggung apalagi bareng
6,Met ngopi bang,selamat ngopi bang
7,Akhirnya bisa nonton ardhito and the piranhas lagi (meski konser virtual),akhir menonton ardhito and the piranhas meski konser virtual
8,udah bayar belom,sudah bayar bom
9,akhirnya nonton virtual kesekian kali. kpn nonton offline nya....,akhir menonton virtual sekian kali kapan menonton offline nya
10,Benulan qaqa,benulan qaqa
11,Masyaallah pacalkuuu,masyaallah pacalkuuu
12,Komennya,komennya
13,obat rindu,obat rindu
14,syg smgt trs y aaa lv u more more more ,sayang smgt terus ya aaa lv kamu more more more
15,Manggung kampanye Indonesia butuh kerja?,manggung kampanye indonesia butuh kerja
16,surabaya dongggg,surabaya dong
17,yuhuuu,yuhuuu
18,lucu bgtt tadii,lucu banget tadi
19,Manggung di yutup yaaaaa,manggung yutup yaaaaa
20,Lovyuu,lovyuu
21,yeayyy,yeayyy
22,Duh gak sabar liatnya,aduh enggak sabar lihat
23,Yipi,yipi
24,Yuhoo,yuhoo
26,aaahhh aku suka banget tadiiii,aaahhh suka banget tadiiii
27,maap bang lu rada sengklek disini :(,maaf bang kamu rada sengklek sini
28,akhirnya ya sayang,akhir sayang
29,lov dhitooo,lov dhitooo
30,Ka nanti klo corona dah ilang pkoknya lu wajib konser di Jogja lg ya,kakak kalau corona deh hilang pokoknya kamu wajib konser jogja lagi
31,"Pecah bgt astaga, nyesel lu pada galiat",pecah banget astaga menyesal kamu galiat
32,Keren bgt asliiii ,keren banget asli
33,Iya tolong jadwal nya diperbanyak syg,iya jadwal nya sayang
37,Tetep keren sihh uuuu,keren sih
38,Sama nadin yaa,sama nadin ya
39,Keren banget tadi,keren banget tadi
40,Akhirnya bisa sing along walaupun virtual,akhir virtual
41,Sedang nonton~♡,menonton
42,iya,iya
43,Yeyyy akhirnya,yeyyy akhir
44,KEREN BGT BURUAN BIKIN PROJECT BARENG NADIN BANG!!!!!!!!!!,keren banget buru bikin project bareng nadin bang
45,semangaat sayaang,semangaat sayang
46,"yg pas di JJF keren bnget lu to 
Big Applause please ",yang pas jjf keren banget kamu tapi big applause please
47,woyyy yang kamu ganteng banget dah yawla,woy ganteng banget deh yawla
48,bikin lagu collab sama nadin bang keren banget tadi,bikin lagu collab sama nadin bang keren banget tadi
49,wah mantappp bang!,wah mantap bang
50,Kemeja kamu bagus btw,kemeja bagus ngomong-ngomong
51,abis ngmg oke siap masa nge twit dlu,habis bicara oke siap masa nge twit dulu
52,akhirnya bisa nonton lagi,akhir menonton
53,Sekuttttt,sekuttttt
54,Akhirny,akhirny
55,Thanks dhitoo,terima kasih dhitoo
56,Pengen lihat Dito secara langsung huwaaaa,ken lihat dito langsung huwaaaa
57,Td aku nonton kamu loh dibelakang. Helm ku sampe ilang.,tadi menonton loh belakang helm ku sampai hilang
58,Miss you dhitoo,miss you dhitoo
59,Bang. Ayodong buat project duet sama nadin :))))))),bang ayodong buat project duet sama nadin
60,Duet bareng nadin manis banget sih,duet bareng nadin manis banget sih
61,Nonton kagak lu @iamayni_,menonton tidak kamu
62,seneng nya. jangan lupa terus bersyukur ya ka dito ,neng nya jangan lupa terus syukur kakak dito
63,syg bgt,sayang banget
64,"Semangat sayang,besok aku vc ya,hari ini gabisa vc dulu",semangat sayangbesok vc yahari enggak bisa vc dulu
65,"Sedih bgtt beb,aku gabisaa nonton live nya aku sibuk",sedih banget bebaku gabisaa menonton live nya sibuk
66,Merinding denger senandungmu,merinding dengar senandung
67,Nnti kita ketemu uwuwuwuwu,nanti ketemu uwuwuwuwu
68,Good luckkkk,good luckkkk
69,dimans bro,dimans saudara laki-laki
70,Hah dmna dan kpan,hah dimana kapan
71,"Titip, siapa tau ada yg nyari jasa bersih kosan 25rb aja udah lengkap+bersihin kamar mandi dalem. Bisa kirim barang/titip juga. Dom solo jogja nih",titip siapa tahu yang mencari jasa bersih kosan ribu saja sudah lengkapbersihin kamar mandi dalem kirim barangtitip dom solo jogja ini
72,Semangat sayang,semangat sayang
73,Alhamdulillah ye. Btw ini here we go again enak banget dah,alhamdulillah ye ngomong-ngomong here we go again enak banget deh
74,Anjay,anjay
75,Akhirnya sayangkuuu,akhir sayangkuuu
76,pengen nnton konser lu lagi,ken menonton konser kamu
77,Ahirnya bisa liat,ahirnya lihat
78,Tar siangan w tonton,nanti siang gue tonton
79,"Akhirnya aku bisa manggung lagi meski di nikahan tetangga 

masang panggung",akhir manggung meski nikah tetangga masang panggung
80,Ajak dong,ajak dong
81,Bikin lagi dong ,bikin dong
82,"misi..
inpods 12 nya kakak..
",misiinpods nya kakak
83,Warna baru di lagu cigarettes of ours. Sukak bgt!! Bikin lagu duet gaksih?,warna baru lagu cigarettes of ours suka banget bikin lagu duet gaksih
84,Aku sayang bgt sama kamu too,sayang banget sama too
85,You look great,you look great
86,"Tdi nonton livenya, eh taunya udh lagu penutupan):",tadi menonton livenya eh tahu sudah lagu tutup
87,virtual photoshoot,virtual photoshoot
88,Yahh telat,ya terlambat
89,Sayang,sayang
90,Kamu gantenk banget sayang tadi,gantenk banget sayang tadi
91,Keren bgtt ,keren banget
92,aaakkk thank u brouuuu ,aaakkk thank kamu brouuuu
93,Asikk,asikk
94,Keren banget sumpah. Sepanjang konser ikutan nyanyi terus ...,keren banget sumpah panjang konser ikut nyanyi terus
95,Apa kabar omnibuslaw bung? Merdeka!!,apa kabar omnibuslaw bung merdeka
96,mantapppp,mantapppp
97,Kapan dito,kapan dito
98,Aww sayang aku,aww sayang
