tweet,Processed Text
Iyaa lagi:),['iya']
aku yang tidak peduli,"['tidak', 'peduli']"
RUMOR DI TWT KATANYA UDH PUNYA ANAK JUGAAA,"['rumor', 'twt', 'kata', 'sudah', 'punya', 'anak', 'juga']"
"""Berdiam terlihat jomblo,","['diam', 'lihat', 'tidak punya pacar']"
"Bergerak bikin melongo ""","['gerak', 'bikin', 'longo']"
"""mirip"""" sih baru berapa minggu yang lalu w juga kaget adipati sama isyana udah nikah""","['mirip', 'sih', 'baru', 'berapa', 'minggu', 'lalu', 'gue', 'kaget', 'adipati', 'sama', 'isyana', 'sudah', 'nikah']"
"""Lebih kaget yg belain ardhito begini:","['lebih', 'kaget', 'yang', 'bain', 'ardhito', 'begini']"
"Arditho make narkoba : """"emang kenapa si kalo make narkoba? Lu ga tau masalah apa sedang di alaminya, dia orangnya kuat menahan bebannya sendirian""""","['arditho', 'memakai', 'narkotika, psikotropika, dan obat terlarang', 'memang', 'sih', 'kalau', 'memakai', 'narkotika, psikotropika, dan obat terlarang', 'kamu', 'enggak', 'tahu', 'masalah', 'apa', 'sedang', 'alami', 'orang', 'kuat', 'tahan', 'beban', 'sendiri']"
"Young lex yang ga ngapa ngapain : """"halah paling belum ketahuan aja tampangnya aja kriminal""""""","['young', 'lex', 'enggak', 'ngapa', 'sedang apa', 'halah', 'paling', 'tahu', 'saja', 'tampang', 'saja', 'kriminal']"
"Santer ya beritanya, makin ketutup berita dugaan korupsi beberapa hari yang lalu","['santer', 'berita', 'makin', 'tutup', 'berita', 'duga', 'korupsi', 'beberapa', 'hari', 'lalu']"
"""Ini emang disembunyiin atau emang dia tipe orang yang gamau ngumbar """"privacy"""" nya?""","['memang', 'disembunyiin', 'memang', 'tipe', 'enggak mau', 'mengumbar', 'privacy', 'nya']"
Istrinya cantik banget,"['istri', 'cantik', 'banget']"
SPILL DONG ISTRINYAA,"['spill', 'dong', 'istrinyaa']"
