sentiment,tweet,Processed Text
-1,kita lanjutkan saja diam ini hingga kau dan aku mengerti tidak semua kebersamaan harus melibatkan hati ,lanjut diam hingga erti semua sama libat hati
1,doa rezeki tak putus inna haa zaa larizquna maa lahu min na fadesungguhnya ini ialah pemberian kami kepada kamu p ,doa rezeki putus inna haa zaa larizquna maa lahu min nya fadesungguhnya ialah beri kepada p
1,makasih loh ntar kita bagi hasil aku 99 9 sisanya buat kamu,terima kasih loh hasil sisa buat
-1,aku tak faham betul jenis orang malaysia yang tak reti nak sangkut balik hose tu aku geli bodoh nak pegang ,faham betul jenis malaysia tidak ret nak sangkut balik hose geli bodoh nak pegang
0,barusan liat tulisan di belakang truk rela injek kopling demi kamu bisa shopping ,barusan lihat tulis belakang truk rela injek kopling shopping
-1,cerita dia macam ni mamat ni hari2 aku nampak keluar masuk cimb ceria ja tapi hari ni aku tengok muka dia masam aku p ,cerita macam mamat harihari tampak keluar masuk cimb ceria tapi hari jenguk muka masam p
1,ya aku akan menjadi satu satunya bukan nomor satu tetapi satu satunya,iya jadi satu satu bukan nomor satu satu satu
-1,aku aja capek sama diriku sendiri apalagi kamu maaf ya ' ,capek sama diri sendiri maaf iya
-1,aku cuba nak amalkan sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kesian dan mudah memaafkan ,cuba nak amal sikap pergi mampus sayang gagal jenis mudah kasihan mudah maaf
0,her itu lho miss kevin sama keven rebutan gimbot ya wis aku beli 2 ae sambil nunjuk the twins yg asik main ipad masin ,her lho miss kevin sama keven rebut gimbot iya wis beli sambil nunjuk the twins asik main ipad masin
0,iya rep gatau aku masih kelas 4 sd ehh di block ,iya rep enggak tau kelas sd eh block
0,aku mohon tepatilah janjimu penantiancintaeps19,mohon tepat janji penantiancintaeps
0,bukan beria nk kahwin sbb gatal celah kangkang tp penat bila balik kg org anggap aku ni bujang takde kerja and ser ,bukan ria nk kahwin ikut gatal celah kangkang penat bila balik kg anggap bujang takde kerja and ser
0,aku ingatkan habanero paling pedas rupanya ada 10 kali ganda yg lagi pedas gila ,ingat habanero paling pedas rupa kali ganda lagi pedas gila
0,aku tengok drama cinta bukan kristalatu conversation anak dengan bapak bapak iyeee sekarang semua perempuan n ,jenguk drama cinta bukan kristalatu conversation anak bapak bapak iyeee sekarang semua perempuan
1,i dont know why but these zikir sangat membantu aku pon dapat hasil dari orang retweetambil usaha sambil doa insha alla ,i dont know why but these zikir sangat bantu pon hasil retweetambil usaha doa insha alla
-1,commitmentetakat kehulu hilir together tapi tak put effort nak kahwin baik tinggalkan je bazir masa ,commitmentetakat hulu hilir together tidak put effort nak kahwin baik tinggal je bazir masa
1,aah kamu aja mas aku lebih suka diayomi ,aah mas lebih suka ayom
0,yg aku butuh interaksi dari 95l 99l yuk yg line segitu kuy mutualan nanti ku follow tapi auto followback ok rt aja ,butuh interaksi l l yuk line segitu yuk mutualan ku follow auto followback rt
0,kau dah tak streak dengan aku pun ,deh streak
0,yg selama ini nunggun video dari aku nih retweet yg mau full ,lama nunggun video retweet mau full
1,mau bantu aku nabung ,mau bantu nabung
-1,kamu jahat dubu lt ,jahat dubu lantai
0,tak kisah pun bf ade kawan perempuan sebab aku pun ade kawan laki tapi kalau over nak ngadu nak cite itu ini send ga ,kisah bf adek kawan perempuan adek kawan laki kalau over nak adu nak cite ini send enggak
0,high ,high
0,nanti malam ada undangan opening di hungerbelt spazio temani aku laaaahhh siiisssss ,malam undang opening hungerbelt spazio teman laaaahhh siiisssss
-1,aku nak tanya lah apa perasaan korang bila simpan duit dalam tabung kemudian anai2 makan duit tu ,nak tanya lah apa asa korang bila simpan duit tabung kemudian ana makan duit
1,tak peduli seperti apa hidupmu kamu selalu punya pilihan untuk melihat dari sisi baiknya atau sisi buruknya ,peduli apa hidup selalu punya pilih lihat sisi baik sisi buruk
1,aku dah tahu macam mana nak bagi pengantin gelak natural hahahahahahahahahahaha ,deh tahu macam mana nak pengantin gelak natural hahahahahahahahahahaha
0,aku tambah lagi ia,tambah ia
1,cara nak mintak maaf ada 3 1 aku minta maaf 2 aku mengaku salah aku 3 apa yang boleh aku buat untuk betulkan ba ,cara nak mintak maaf minta maaf aku salah apa boleh buat betul ba
0,sebenarnya ramai sifu2 property approach aku utk join kelas investment etcemua cerita beli rumah murah dan sewakan ,benar ramai sifu property approach join kelas investment etcemua cerita beli rumah murah sewa
-1,kalo gebetan kamu ngga pernah buang ludah di jalan pacarin ,kalau suka pernah buang ludah jalan pacarin
-1,jangan dekat dengan aku aku tengah susah nanti aku senang aku panggil ,jangan dekat tengah susah senang panggil
1,yuk netweetjen dibantu,yuk netweetjen bantu
1,ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka ,iya allah iya tuhan lindung dua ibu bapa saat jauh
0,lecturer aku suruh tampal note kat tempat yang aku selalu tengok takkan aku nak tampal kat muka crush pulak,lecturer suruh tampal note kat tempat selalu jenguk tak nak tampal kat muka crush
0,20thn aku pengen nikah umur 23 sm orang yang gini gini gini 23thn blm ada yg nglamar 24thn si ,thn pengin nikah umur sama begini begini begini thn ada nglamar thn sih
0,terdengar perbualan budak sekolah aku nk amik a level aku nk amik asasi asasi lagi ok dari matrik kan aa ,dengar bual budak sekolah nk amik a level nk amik asasi asasi ok matrik kan aa
0,cara outin diri sendiri gimana sih yang bisa outin aku aku bayar deh g ,cara outin diri sendiri bagaimana sih bisa outin bayar deh enggak
1,giveaway karena hari ini umur aku bertambah jadi aku ingin berbagi rules aja dan ucapkan saya wish dan screenshoo ,giveaway hari umur tambah jadi bagi rules ucap wish dan screenshoo
1,ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka ,iya allah iya tuhan lindung dua ibu bapa saat jauh
1,selamat hari jumat buat kamu yg selalu bikin rindu ini kumat ,selamat hari jumat buat selalu bikin rindu kumat
-1,kesian belakang dengan laki lain and girl goes like mesti dia tak bagi attention sampai gf dia buat camtuh men are t ,kasihan belakang laki and girl goes like mesti tidak attention gf buat camtuh men are t
1,diremes di enyot ngedusel dusel di nenen kamu wah mantap,diremes enyot ngedusel dusel nenen wah mantap
0,mana gampaang aku nanya dulu tauu ,mana gampaang tanya dulu tau
-1,idm hallo ami tolobg bantu ya huhu ini aku masalah album ku yg ga sampe sampe ,idm halo ami tolobg bantu iya huhu masalah album ku enggak sampai
-1,takde gf pun takpe imaginary gf pun also can lepastu lama lama aku jadi gila sekian,takde gf takpe imaginary gf also lepastu lama lama jadi gila sekian
1,hi rakyat2 ku karena akhirnyauga postelca aku mau give away album love yourself answerealed versionnya pilihendiri e ,hai rakyat ku akhirnyauga postelca mau give away album love yourself answerealed versionnya pilihendiri e
0,makan tido makan tido hari ni aku mereput je la kat rumah hadap diorang ni haih ,makan tido makan tido hari reput je lah kat rumah hadap orang haih
-1,10 tahun jadi bestfriend but gaduh sikit sampai 7 bulan tak tegur malam tadi aku koyak sikit pastu post gambar dia tetib ,tahun jadi bestfriend but gaduh sikit bulan tegur malam tadi koyak sikit pastu post gambar tetib
0,threado as promised aku nk citer pengalaman aku ambik teh kurus pil kurus it was 2013 2014 mcm tuince everyone was s ,threado as promised nk citer alam ambik kakak perempuan kurus pil kurus was macam tuince everyone was si
0,makanya tadi aku kaget lihat teman kabar nya udah menikah dalam hati kamu kapan taarufnya kok sampai ga tercium kabarnya ,makanya tadi kaget lihat teman kabar nya meni hati kapan taaruf kok enggak cium kabar
-1,pacar kamu sibuk ya kok tumben komen wassap story aku ,pacar sibuk iya kok tumben komen wassap story
-1,kucin datang bawah meja mintak makanan kau bagi lah apa yang ada jangan sepak2 pulak dia tak datang seekor dia datang ber ,kucin datang bawah meja mintak makan lah apa ada jangan sepak datang ekor datang ber
-1,lepaskanlah dia tidak mau kamuadarlah jangan membatu ,lepas tidak mau kamuadarlah jangan batu
-1,aku nak tanya lah apa perasaan korang bila simpan duit dalam tabung kemudian anai2 makan duit tu ,nak tanya lah apa asa korang bila simpan duit tabung kemudian ana makan duit
-1,tolong sebelum kau nak kacau orang yg aku sayang kau fikir dulu mcm mana perasaan kau bila ada orang kacau buah hati kau,belum nak kacau sayang fikir dulu macam mana asa bila kacau buah hati
-1,biasalah tu perempuan kena berjaga jaga muka malaikat pun kadang2 perangai syaitan jugak aku pernah gak camni lari laju teruk ,biasa perempuan kena jaga jaga muka malaikat kadang perangai syaitan pernah enggak camni lari laju teruk
1,pilih salah satu yang paling kamu nyaman,pilih salah satu paling nyaman
1,aku sendiri jugaaa yuk barengan,sendiri yuk bareng
-1,aku benci soalan bala dgn amelia dh la takde duit nk pinjam pinjam lak cb tul pastu aku lak aku kena kire,benci soal bala amelia dah lah takde duit nk pinjam pinjam lak coba tul pastu lak kena kire
0,aku juga dong mbaknya link kalo jepang main ,dong mbak link kalau jepang main
-1,24 8 18 birthday abang aku dia ajak pergi makan aku tolak sebab kerja balik lambat nak ot 26 8 18 dia ajak per ,birthday abang ajak pergi makan tolak kerja balik lambat nak ot ajak per
