Unnamed: 0,tweet,Processed Text,sentiment
0,"""Ini hasil dari pengembangan kasus dan laporan dari masyarakat. Jadi, enggak ada polisi punya daftar. Itu bohong,"" kata Direktur Reserse Narkoba Polda Metro Jaya.",hasil kembang polisi daftar bohong kata direktur reserse polda metro jaya,Negatif
1,"Bisa jadi sih, atau cepu tadi ya.",cepu tadi,Positif
2,Klo nggak di list mungkun FF juga udh ditangkap dari tahun lalu kan,list mungkun ff tangkap tahun lalu,Negatif
3,polisi nyambi jd temen artis kan juga banyak bang,polisi nyambi,Positif
4,Di bandar nya ada cepu bang.,bandar cepu,Negatif
5,intel sama pak pol kan masyarakat. bandar juga masyarakat bang.,intel pak pol bandar,Negatif
6,temen dia ada yang cepu kali bang,cepu kali,Negatif
7,Polisi sekarang cepunya banyak bang,polisi sekarang cepu,Positif
8,biasalah buat permainan nutupin kasus lain,biasa buat main menutupi,Negatif
9,Pura2 percaya aja napa,pura kenapa,Negatif
10,Berarti kinerja polisi buruk. Masa gak bisa telusuri jaringan distribusi. Pasif nunggu laporan. ,arti kerja polisi buruk masa telusur jaring distribusi pasif menunggu,Positif
11,Pasti ini karena ada hipotesis dari dosen UNJ makanya banyak yg ditangkapin. Timingnya selalu tepat ya? ,ada hipotesis dosen unj makanya ditangkapin timingnya selalu tepat,Negatif
12,"Dulu sy yg pernah jd kru film selama 2th lebih,aslinya banyak banget artis yg pke ganja(setau sy klo dilapangan)mungkin klo dirumah bs jd yg pke bong.",dulu pernah kru film lama tahun lebihaslinya banget pakai ganjasetau dilapanganmungkin rumah yang pakai bong,Negatif
13,"Kan mereka bisa ""sadap"" Handphone kita. Belum lagi kalau ternyata bandarnya ""tuker kepala"".",sadap handphone nyata bandar tuker kepala,Negatif
14,Intel inside,intel inside,Negatif
15,Yg tau pembeli cm bandar ....so tebak sendiri,beli cuma bandar sok tebak sendiri,Negatif
16, udah percaya aja Mas ,mas,Negatif
17,gkmau,gkmau,Positif
18,Istrinya sendiri tahu gak doi pake narkoba? Kalau Istri gak tau apalagi masyarakat ,istri sendiri doi pakai istri,Positif
19,Masa presscon bilang berdasarkan cepu yang beredar di masyarakat ,masa presscon bilang dasar cepu edar,Negatif
20,Plot twist pngedarnya itu polisi wakanda yg nyamar,plot twist pngedarnya polisi wakanda nyamar,Negatif
21,bandar jg masyarakat bg,bandar abang,Positif
22,"Yang ada dalam benak saya, itu yang dimaksud hasil laporan masyarakat, trus masyarakat yang mana?",benak maksud hasil terus mana,Negatif
23,cepunya temen sendiri paling,cepu sendiri paling,Negatif
24,Sya kira gara2 kalo nangep artis dapet fame dan artis banyak duitnya pak.. ehe,kira gara nangep fame duit pak ehe,Negatif
25,"Dia udah kawin mah bukan masyarakat yg gak tau, melainkan netizen. Kalo daerah rumahnya pasti masyarakat nya ada yang tau kalo dia udah kawin.",kawin mah bukan netizen daerah rumah kawin,Negatif
26,Satintelkam can't relate ,satintelkam cant relate,Negatif
27,Cepu jg kan masyarakat mas.,cepu mas,Negatif
28,"Karena punya intel lah, intel polisi itu ga cuma jd kang bakso doang ",intel intel polisi cuma kang bakso doang,Negatif
30,Tolong kepada netizen ini Gada hubungannya dgn ramainya berita tentang saham yg hampir 100M itu ya....,netizen hubung ramai berita saham hampir iya,Positif
31,Keknya kalo lu pengguna sama dengan lu udah beli “tiket” tinggal nunggu waktu aja. ,kamu kamu beli tiket tinggal menunggu waktu,Negatif
32,Isilop ngeles aja kek bajaj,isilop berkilah seperti bajaj,Negatif
33,"Polisinya ada yang penumpang 828, jadi tiap hari dapet Calling buat ungkap kasus-kasus",polisi tumpang tiap hari calling buat ungkap kasuskasus,Positif
34,Dan drmn dpt brg? ga pernah terekspose pengembangan asal brg..,darimana bareng pernah ekspose kembang asal bareng,Positif
35,Sa ae pak pol,sa pak pol,Negatif
36,"Curiga, yg jual ke artis-artis ini itu adalah.....",curiga jual artisartis,Negatif
37,"Gue pake quotes lawas aja bro: ""Not everyone arround you is your friend"".",pakai quotes lawas bronot everyone arround you is your friend,Positif
38,Polisi kalau nggak pake seragam dan nggak di kantor polisi dan nggak bawa ht juga bakal jadi masyarakat ye kannn... hmm curiga aja sma bapak-bapak bersarung dan emak-emak petangtang petengteng tas belanjaan depan rumah,polisi pakai seragam kantor polisi bawa hati bakal ye hmm curiga bapakbapak sarung emakemak petangtang tengteng tas belanja depan rumah,Positif
39,Masyarakat lagi kan ujungnya....,ujung,Positif
40,Banpol,bantuan polisi,Positif
41,Ujungnya tetap masyarakat yang terkambing hitamkan,ujung tetap kambing hitam,Positif
42,Well... I don't care actually. Gue lebih peduli sama kasus korupsi pejabat daripada kasus artis pake narkoba. Kerugian korupsi pasti lebih besar ketimbang artis pake narkoba,well i dont care actuallygue lebih peduli korupsi jabat pakai narkobakerugian korupsi lebih besar ketimbang pakai,Negatif
43,Polisi kan masyarakat juga.,polisi ,Positif
44,"Banyak intel disekitar kita, bisa jadi mereka adalah salah satu anggota keluargamu",intel bisa salah satu anggota keluarga,Positif
45,Sp nih cepunya ?,siapa cepu,Negatif
46,Wkwkwk temen gw make shabu dikamar nya bareng si itu pas di grebek ternyata si itu satu kesatuan juga sama yg nangkep btw temen gw gk pake di hukum alias damai di TKP bayar 15jt doang ya murah sih daripada jadi napi awokwowkwowkwowkowk,wkwkwk memakai shabu kamar bareng pas grebek nyata satu satu nangkep ngomong-ngomong pakai hukum alias damai tkp bayar juta doang murah narapidana awokwowkwowkwowkowk,Negatif
47,ada yang cepu?,cepu,Negatif
48,Lambe turah,lambe turah,Positif
49,hah? percaya polisi? up dulu dah,hah polisi up dulu deh,Negatif
50,"That ""percaya aja"" ",that,Positif
51,"cepunya artis jg, gudluking kasus ganja jg inisial JN ",cepu gudluking ganja inisial jn,Negatif
52,Hah kita? Lau aja kali gue enggak hehe,hah kau kali tidak he,Negatif
53,"pasti punya, tinggal tunggu waktu aja buat nangkap.,",tinggal tunggu waktu buat nangkap,Negatif
54,Masyarakatnya dia2 juga wkwkw,wkwkw,Positif
55,"Lu aja yg gatau dia udah nikah, di podcast kan dia bilang",kamu yang tau nikah podcast bilang,Negatif
56,Gua mah lebih peduli ama kasus korupsi daripada ginian..,mah lebih peduli korupsi beginian,Negatif
57,"Iya percaya, jd next seragam satpam warna apa nih",iya lanjut seragam satuan pengamanan warna apa,Positif
58,kadang yg ngejual juga oknumnya sendiri mangkanya tau siapa aja penggunanya. semua tinggal nunggu bom waktu buat nutupin masalah yang lagi rame (apalagi masalahnya orang2nya penguasa),kadang ngejual oknum sendiri mangkanya siapa guna semua tinggal menunggu bom waktu buat menutupi masalah ramai masalah orang kuasa,Negatif
59,"Harusnya kita sadar, kenapa selama ini penggunanya ditangkepin, dipampang di depan publik, dan dibikin malu sehingga kesannya pemberantasan narkoba telah berhasil. Padahal di luar sana bandar besar yg jadi sumber narkobanya masih bebas ongkang2 kaki ngejalanin bisnisnya.",sadar lama ditangkepin pampang depan publik bikin malu kesan berantas hasil padahal luar sana bandar besar sumber narkobanya bebas ongkang kaki ngejalanin bisnis,Negatif
60,(((kita percaya aja sama Polisi))) Jujur ini salah satu hal mustahil yang terdengar dapat dilakukan selain menghidupkan orang mati.,polisi jujur salah satu mustahil dengar laku hidup mati,Negatif
61,"Long long time ago, ada konspirasi di negeri kuvuki land. Menurut kabarnya bahwa si-poli disana dulu memiliki daftar nama para pemakai, dan dikeluarkan ke publik satu persatu jika ada kasus yg bisa melemahkan kerajaan kuvuki land. Kalo satu kurang cukup, maka bisa dua atau tiga.",long long time ago konspirasi negeri kuvuki land kabar sipoli sana dulu milik daftar nama pakai keluar publik satu satu lemah raja kuvuki land satu kurang cukup atau tiga,Positif
62,"Keluarga, teman, rekan kerja, tetangga, itu kan masyarakat. Kemungkinan juga artis pengguna yang masih terjerat / yang sudah bebas (pengembangan kasus). Macam² motif: Upaya terakhir agar pengguna berhenti; faktor peringan hukuman; dendam; dan (mungkin) uang. Loh, kok uang?",keluarga rekan kerja tetangga mungkin masih jerat bebas kembang kasusmacam motifupaya akhir henti faktor pering hukum dendam mungkin uangloh kok uang ,Negatif
63,sejak kapan peduli sama laporan masyarakat?,sejak kapan peduli ,Positif
64,"Semoga bandar²nya diciduk juga ya. Kalau yang diciduk cuma pengguna mah, yah gak bakal ada abisnya.",moga bandar ciduk iya ciduk cuma mah bakal habis,Positif
65,tumben laporan masyarakat diproses ,tumben proses,Positif
66,ya masyarakat bkn netizen jg kali duh,bukan netizen kali aduh,Negatif
67,Ardito punya langganan tukang bakso sama siomay keliling di rumahnya. Sampe kaya temen deket.,ardito langgan tukang bakso siomay keliling rumah kayak dekat,Negatif
68,Klo kalian punya temen anggota sih ngobrol sampe ke dlm2 akan paham cara mainnya gimana,kalian anggota mengobrol dalam paham cara main bagaimana,Negatif
69,"Tumben dengerin laporan masyarakat, oh mungkin masyarakat kelas atas ya?",tumben dengarkan mungkin kelas atas,Negatif
70,"Katanya malah tau ganja dari 2011. Wewww, narkoboy senior. INI SIHHHH NETIJEN RAHIM ANGET BIKIN YANG SOK GANTENH BEBAS KELIARAN LAGI DI TIPI2 wkkk",kata bahkan ganja wow narkoboy senior netijen rahim anget bikin sok gantenh bebas keliar TV wkkk,Negatif
71,Kalo di film mafia biasanya Udah kerja sama sama bandar besar Terus kalo butuh up berita tinggal kasih si target yg bandar pengen Jadi bandar aman di Copsnya juga dapat berita,film mafia biasanyaudah kerja bandar besarterus butuh up berita tinggal kasih target bandar pengenjadi bandar aman copsnya berita,Positif
72,Kalo udah positif ya tangkep aja. Mandang fisik banget,positif tangkap mandang fisik banget,Positif
73,nganu.. aparat kan masyarakat juga. *eh*,nganu aparat eh,Negatif
74,Waktu itu ada polisi yg ngomong kok punya daftar selebritis pake narkoba ntar dibukanya pas ada kasus korupsi dll,waktu polisi bicara kok daftar selebritis pakai buka pas korupsi,Negatif
75,Yah parah bet di cepuin,parah banget cepuin,Negatif
76,"Yg dimaksud masyarakat kan bisa teman sesama artis jg, entah krn persaingan ato alasan lain, spt dlu yg tjadi ke Raffi Ahmad, klu kelg kan tdk mgk lapor walau tau.",maksud entah saing alas dulu tjadi raffi ahmad kelg mungkin,Negatif
77,"Mending percaya hitler jualan nasi uduk di garut, ketimbang percaya ama polisi",lebih baik hitler jual nasi uduk garut ketimbang polisi,Positif
78,Percaya nya masih belum penuh bang masih 20% an lah kira2,penuh an kira,Negatif
79,"Positif aja, mungkin bandarnya ketangkep duluan",positif mungkin bandar ketangkep duluan,Negatif
80,Ardhito kan gak setenar Raffy Ahmad dan Baim wong,ardhito tenar raffy ahmad baim wong,Negatif
