Unnamed: 0,tweet,Processed Text,sentiment
0,Akhirnya bisa nonton bang ardhito manggung lagi,akhir menonton bang ardhito manggung,Positif
1,Wooww aku blm pernah nonton ardhito,wooww belum pernah menonton ardhito,Negatif
2,that's my baby,thats my baby,Positif
3,Akhirnya bisa ngrasain suasana gigs lagi setelah sekian lama ,akhir merasai suasana gigs telah sekian lama,Negatif
4,Akhirnya bisa nonton ardhito manggung,akhir menonton ardhito manggung,Positif
5,seneng bgt juga tau ga sii akhirnya bisa nonton dhito manggung lagi. apalagi bareng ,neng banget tahu enggak sih akhir menonton dhito manggung apalagi bareng,Negatif
6,Met ngopi bang,selamat ngopi bang,Positif
7,Akhirnya bisa nonton ardhito and the piranhas lagi (meski konser virtual),akhir menonton ardhito and the piranhas meski konser virtual,Positif
8,udah bayar belom,sudah bayar bom,Negatif
9,akhirnya nonton virtual kesekian kali. kpn nonton offline nya....,akhir menonton virtual sekian kali kapan menonton offline nya,Positif
10,Benulan qaqa,benulan qaqa,Positif
11,Masyaallah pacalkuuu,masyaallah pacalkuuu,Positif
12,Komennya,komennya,Positif
13,obat rindu,obat rindu,Negatif
14,syg smgt trs y aaa lv u more more more ,sayang smgt terus ya aaa lv kamu more more more,Positif
15,Manggung kampanye Indonesia butuh kerja?,manggung kampanye indonesia butuh kerja,Positif
16,surabaya dongggg,surabaya dong,Positif
17,yuhuuu,yuhuuu,Positif
18,lucu bgtt tadii,lucu banget tadi,Positif
19,Manggung di yutup yaaaaa,manggung yutup yaaaaa,Positif
20,Lovyuu,lovyuu,Positif
21,yeayyy,yeayyy,Positif
22,Duh gak sabar liatnya,aduh enggak sabar lihat,Positif
23,Yipi,yipi,Positif
24,Yuhoo,yuhoo,Positif
26,aaahhh aku suka banget tadiiii,aaahhh suka banget tadiiii,Positif
27,maap bang lu rada sengklek disini :(,maaf bang kamu rada sengklek sini,Negatif
28,akhirnya ya sayang,akhir sayang,Positif
29,lov dhitooo,lov dhitooo,Positif
30,Ka nanti klo corona dah ilang pkoknya lu wajib konser di Jogja lg ya,kakak kalau corona deh hilang pokoknya kamu wajib konser jogja lagi,Negatif
31,"Pecah bgt astaga, nyesel lu pada galiat",pecah banget astaga menyesal kamu galiat,Negatif
32,Keren bgt asliiii ,keren banget asli,Positif
33,Iya tolong jadwal nya diperbanyak syg,iya jadwal nya sayang,Positif
37,Tetep keren sihh uuuu,keren sih,Positif
38,Sama nadin yaa,sama nadin ya,Positif
39,Keren banget tadi,keren banget tadi,Positif
40,Akhirnya bisa sing along walaupun virtual,akhir virtual,Positif
41,Sedang nonton~♡,menonton,Positif
42,iya,iya,Positif
43,Yeyyy akhirnya,yeyyy akhir,Positif
44,KEREN BGT BURUAN BIKIN PROJECT BARENG NADIN BANG!!!!!!!!!!,keren banget buru bikin project bareng nadin bang,Positif
45,semangaat sayaang,semangaat sayang,Negatif
46,"yg pas di JJF keren bnget lu to 
Big Applause please ",yang pas jjf keren banget kamu tapi big applause please,Positif
47,woyyy yang kamu ganteng banget dah yawla,woy ganteng banget deh yawla,Positif
48,bikin lagu collab sama nadin bang keren banget tadi,bikin lagu collab sama nadin bang keren banget tadi,Positif
49,wah mantappp bang!,wah mantap bang,Positif
50,Kemeja kamu bagus btw,kemeja bagus ngomong-ngomong,Positif
51,abis ngmg oke siap masa nge twit dlu,habis bicara oke siap masa nge twit dulu,Negatif
52,akhirnya bisa nonton lagi,akhir menonton,Positif
53,Sekuttttt,sekuttttt,Positif
54,Akhirny,akhirny,Positif
55,Thanks dhitoo,terima kasih dhitoo,Positif
56,Pengen lihat Dito secara langsung huwaaaa,ken lihat dito langsung huwaaaa,Positif
57,Td aku nonton kamu loh dibelakang. Helm ku sampe ilang.,tadi menonton loh belakang helm ku sampai hilang,Positif
58,Miss you dhitoo,miss you dhitoo,Positif
59,Bang. Ayodong buat project duet sama nadin :))))))),bang ayodong buat project duet sama nadin,Positif
60,Duet bareng nadin manis banget sih,duet bareng nadin manis banget sih,Negatif
61,Nonton kagak lu @iamayni_,menonton tidak kamu,Negatif
62,seneng nya. jangan lupa terus bersyukur ya ka dito ,neng nya jangan lupa terus syukur kakak dito,Positif
63,syg bgt,sayang banget,Positif
64,"Semangat sayang,besok aku vc ya,hari ini gabisa vc dulu",semangat sayangbesok vc yahari enggak bisa vc dulu,Positif
65,"Sedih bgtt beb,aku gabisaa nonton live nya aku sibuk",sedih banget bebaku gabisaa menonton live nya sibuk,Negatif
66,Merinding denger senandungmu,merinding dengar senandung,Negatif
67,Nnti kita ketemu uwuwuwuwu,nanti ketemu uwuwuwuwu,Positif
68,Good luckkkk,good luckkkk,Positif
69,dimans bro,dimans saudara laki-laki,Positif
70,Hah dmna dan kpan,hah dimana kapan,Negatif
